source_raw,source_type,relation,target_raw,target_type,source_chunk_id,published_date,evidence,confidence
Squeeze,Company,USES,Youtility technology,Technology,e6fe754774c1e887b74f::c0000,2023-10-26,Squeeze's data analytics and B2C experience with Youtility unique technology allowing switching to be integrated by banks,1.0
GreenPages,Company,ACQUIRED,Zanaris,Company,4bd7afdba71243b0dbcd::c0000,2023-05-02,GreenPages acquired Toronto-based Zanaris an IT automation cloud and DevOps services firm,1.0
ADP,Company,USES,Artificial Intelligence,Technology,4c8e9044ab0a5a6808a6::c0000,2022-12-29,Through Amazon Web Services' Artificial Intelligence (AI)/machine learning (ML) technology the team at Amazon Web Services (AWS) help businesses like ADP,1.0
Renovus,Company,INVESTED_IN,Aretum,Company,c93002837c287180b0c5::c0000,2023-04-19,Aretum becomes the fourth company backed by Renovus,1.0
LeanTaaS,Company,ACQUIRED,Hospital IQ,Company,99f8ce77e2f393b9bdc5::c0000,2023-01-10,LeanTaaS Acquires Hospital IQ to Create AI Innovator for Hospital Operations Optimization,0.98
Syxsense,Company,USES,Unified Security and Endpoint Management (USEM) solutions,Technology,c8847b4677267ef356dd::c0000,2023-06-06,"Syxsense, a global leader in Unified Security and Endpoint Management (USEM) solutions",1.0
Intelligent Technical Solutions,Company,ACQUIRED,Granite Computer Solutions,Company,f982dd2920614d44fec3::c0000,2023-03-28,"Intelligent Technical Solutions (""ITS"") ... has acquired Granite Computer Solutions",1.0
Synopsys,Company,PARTNERED_WITH,TSMC,Company,4b907bbb535472c4877e::c0000,2023-05-17,Synopsys's collaboration with TSMC,1.0
Synopsys,Company,USES,N2 (2nm) process,Technology,4b907bbb535472c4877e::c0000,2023-05-17,deliver digital and custom design EDA flows on TSMC's most advanced N2 (2nm) process,1.0
Synchronoss,Company,DEVELOPED,Personal Cloud,Technology,6cd6e6fbd37cef499912::c0000,2023-02-22,The new Synchronoss Personal Cloud platform enables telecom operators...,1.0
Apogee,Company,ACQUIRED,Cumulus Technology Services Inc.,Company,8558ae812cf7531af5ad::c0000,2022-12-16,Apogee has acquired Cumulus Technology Services Inc.,1.0
Fidelity National Information Services,Company,ACQUIRED,Worldpay,Company,e932445090da75b8ccf6::c0000,2022-12-15,acquisition of Cincinnati-based Worldpay,1.0
Level Ex,Company,USES,video game technology,Technology,12580d3d9ae2a4638b6f::c0000,2023-02-15,The award was won by a company called Level Ex which uses video game technology to serve the ...,0.95
Star Micronics,Company,DEVELOPED,hospitality POS mobile ordering,Technology,59962ceebb61a6ef7d43::c0000,2023-03-13,Star Micronics's latest solutions for hospitality POS mobile ordering,1.0
SIOS Technology Corp,Company,PARTNERED_WITH,ACP IT Solutions GmbH Dresden,Company,30eabd8710efff4abc2e::c0000,2023-08-14,SIOS Technology Corp ... has partnered with ACP IT Solutions GmbH Dresden,1.0
Salesforce,Company,USES,Onfido,Company,5d1b820633fed409a90e::c0000,2023-05-05,integrating with Onfido,1.0
Akeneo,Company,USES,Machine Learning,Technology,8dc0de1ac5eca8c4bb72::c0000,2023-02-08,services company harnesses ML for several use cases and aims to deploy machine learning at scale,0.9
Amazon Web Services,Company,DEVELOPED,Artificial Intelligence,Technology,4c8e9044ab0a5a6808a6::c0000,2022-12-29,Through Amazon Web Services' Artificial Intelligence (AI)/machine learning (ML) technology ...,1.0
Shipsy,Company,DEVELOPED,logistics technology platform,Technology,d4390fbeda5c6c8aee51::c0000,2023-10-26,Shipsy's commitment to providing a comprehensive end-to-end logistics technology platform,1.0
OpenAI,Company,PARTNERED_WITH,Associated Press,Company,67f61078101e32548302::c0000,2023-07-13,The Associated Press and OpenAI have reached an agreement to share access to select news content and technology,1.0
Tower Arch Capital,Company,INVESTED_IN,Intelligent Technical Solutions,Company,f982dd2920614d44fec3::c0000,2023-03-28,"Intelligent Technical Solutions (""ITS"") a portfolio company of Tower Arch Capital",1.0
Investment firm,Company,ACQUIRED,CoolIT Systems,Company,15499a6ad60f9ef2500b::c0000,2023-05-02,Investment firm will acquire CoolIT Systems which makes systems designed to prevent computing hardware from overheating.,0.95
