source_id,source_name,source_name_norm,source_type,relation,target_id,target_name,target_name_norm,target_type,source_chunk_id,published_date,evidence,confidence
01c0a1b8545f22f61ffe10fc,Squeeze,squeeze,Company,USES,447bd498eaf8ac47a9ae4fcf,Youtility technology,youtility technology,Technology,e6fe754774c1e887b74f::c0000,2023-10-26,Squeeze's data analytics and B2C experience with Youtility unique technology allowing switching to be integrated by banks,1.0
0430a89df77e6234ef375307,GreenPages,greenpages,Company,ACQUIRED,d00f157aa6483414b0dba69f,Zanaris,zanaris,Company,4bd7afdba71243b0dbcd::c0000,2023-05-02,GreenPages acquired Toronto-based Zanaris an IT automation cloud and DevOps services firm,1.0
071dac3f19768ce6d9fdfe2f,ADP,adp,Company,USES,1a324b330bd048e7308e53f0,Artificial Intelligence,artificial intelligence,Technology,4c8e9044ab0a5a6808a6::c0000,2022-12-29,Through Amazon Web Services' Artificial Intelligence (AI)/machine learning (ML) technology the team at Amazon Web Services (AWS) help businesses like ADP,1.0
08193f3ca0efe2f71d179f4a,Renovus,renovus,Company,INVESTED_IN,431cca765017665a7961a6ac,Aretum,aretum,Company,c93002837c287180b0c5::c0000,2023-04-19,Aretum becomes the fourth company backed by Renovus,1.0
0d38fd81ca44fb425b0da5cc,LeanTaaS,leantaas,Company,ACQUIRED,db47280f083160ab7a469f8a,Hospital IQ,hospital iq,Company,99f8ce77e2f393b9bdc5::c0000,2023-01-10,LeanTaaS Acquires Hospital IQ to Create AI Innovator for Hospital Operations Optimization,0.98
11cc7c868fd7470c629d4783,Syxsense,syxsense,Company,USES,2055472abeecc19a17f46e12,Unified Security and Endpoint Management (USEM) solutions,unified security and endpoint management usem solutions,Technology,c8847b4677267ef356dd::c0000,2023-06-06,"Syxsense, a global leader in Unified Security and Endpoint Management (USEM) solutions",1.0
23d7ceb58c062d83135817ba,Intelligent Technical Solutions,intelligent technical solutions,Company,ACQUIRED,71006530fc72a47a51a3f8e4,Granite Computer Solutions,granite computer solutions,Company,f982dd2920614d44fec3::c0000,2023-03-28,"Intelligent Technical Solutions (""ITS"") ... has acquired Granite Computer Solutions",1.0
24efe6cedc09a12ec8c3eff2,Synopsys,synopsys,Company,PARTNERED_WITH,b29c72c5ba125a5a8487a987,TSMC,tsmc,Company,4b907bbb535472c4877e::c0000,2023-05-17,Synopsys's collaboration with TSMC,1.0
24efe6cedc09a12ec8c3eff2,Synopsys,synopsys,Company,USES,9ac5d7f04deabb7764d849f3,N2 (2nm) process,n2 2nm process,Technology,4b907bbb535472c4877e::c0000,2023-05-17,deliver digital and custom design EDA flows on TSMC's most advanced N2 (2nm) process,1.0
2e20684ef80a3384fa3ea97f,Synchronoss,synchronoss,Company,DEVELOPED,2ed1c8f049dfd68e239874d3,Personal Cloud,personal cloud,Technology,6cd6e6fbd37cef499912::c0000,2023-02-22,The new Synchronoss Personal Cloud platform enables telecom operators...,1.0
3c87300af0e49ba7418681e9,Apogee,apogee,Company,ACQUIRED,30381150d7c12079bb865a17,Cumulus Technology Services Inc.,cumulus technology services inc.,Company,8558ae812cf7531af5ad::c0000,2022-12-16,Apogee has acquired Cumulus Technology Services Inc.,1.0
3f052c4690533ff0ac061e7c,Fidelity National Information Services,fidelity national information services,Company,ACQUIRED,6c9d7e54e74efb990288221c,Worldpay,worldpay,Company,e932445090da75b8ccf6::c0000,2022-12-15,acquisition of Cincinnati-based Worldpay,1.0
4afd8768b3cad39aae7547b9,Level Ex,level ex,Company,USES,959b7766a9d608a1b4f05669,video game technology,video game technology,Technology,12580d3d9ae2a4638b6f::c0000,2023-02-15,The award was won by a company called Level Ex which uses video game technology to serve the ...,0.95
4ce2ebb1b52161e5f9d04b4e,Star Micronics,star micronics,Company,DEVELOPED,66a1425b80a00bf0d1b5951a,hospitality POS mobile ordering,hospitality pos mobile ordering,Technology,59962ceebb61a6ef7d43::c0000,2023-03-13,Star Micronics's latest solutions for hospitality POS mobile ordering,1.0
5fc8e1ac87fa4f5109b42647,SIOS Technology Corp,sios technology corp,Company,PARTNERED_WITH,c7731f8aaf2677eb3ece67e5,ACP IT Solutions GmbH Dresden,acp it solutions gmbh dresden,Company,30eabd8710efff4abc2e::c0000,2023-08-14,SIOS Technology Corp ... has partnered with ACP IT Solutions GmbH Dresden,1.0
60ade6527483bced1756d6c8,Salesforce,salesforce,Company,USES,7acf05e87a440e89cc30253d,Onfido,onfido,Company,5d1b820633fed409a90e::c0000,2023-05-05,integrating with Onfido,1.0
6db28de8b768e508fb5dc8d1,Akeneo,akeneo,Company,USES,ab7935d7c58f8fc4471668c2,Machine Learning,machine learning,Technology,8dc0de1ac5eca8c4bb72::c0000,2023-02-08,services company harnesses ML for several use cases and aims to deploy machine learning at scale,0.9
70c4e949ff245096c6946802,Amazon Web Services,amazon web services,Company,DEVELOPED,1a324b330bd048e7308e53f0,Artificial Intelligence,artificial intelligence,Technology,4c8e9044ab0a5a6808a6::c0000,2022-12-29,Through Amazon Web Services' Artificial Intelligence (AI)/machine learning (ML) technology ...,1.0
766e95cd703d4ff19d3e90cc,Shipsy,shipsy,Company,DEVELOPED,5db1405004a975c9b15475f2,logistics technology platform,logistics technology platform,Technology,d4390fbeda5c6c8aee51::c0000,2023-10-26,Shipsy's commitment to providing a comprehensive end-to-end logistics technology platform,1.0
773eeb9b7cc008bff365fcdd,OpenAI,openai,Company,PARTNERED_WITH,0f1198d22cf1f786e4405a0d,Associated Press,associated press,Company,67f61078101e32548302::c0000,2023-07-13,The Associated Press and OpenAI have reached an agreement to share access to select news content and technology,1.0
80cc9e4f43076d282967e4b2,Tower Arch Capital,tower arch capital,Company,INVESTED_IN,23d7ceb58c062d83135817ba,Intelligent Technical Solutions,intelligent technical solutions,Company,f982dd2920614d44fec3::c0000,2023-03-28,"Intelligent Technical Solutions (""ITS"") a portfolio company of Tower Arch Capital",1.0
849a9a654eb3a1dc000fcadf,Investment firm,investment firm,Company,ACQUIRED,25ec7af740b0f9819e7aef00,CoolIT Systems,coolit systems,Company,15499a6ad60f9ef2500b::c0000,2023-05-02,Investment firm will acquire CoolIT Systems which makes systems designed to prevent computing hardware from overheating.,0.95
850e0a34c0c89c73e5ebfece,Attra,attra,Company,PARTNERED_WITH,d3375cc1a631efa9976e8d53,Synechron,synechron,Company,ad39674c1e91442967c9::c0000,2023-01-10,Attra will operate under the Synechron brand as Synechron Payments following full integration within Synechron,0.94
8568cefc2b16b1699bc0d89f,Aqara,aqara,Company,DEVELOPED,96acbaf60477959dd4e620bd,FP2 Presence Sensor,fp2 presence sensor,Technology,3387461d5f34cf26d922::c0000,2023-10-05,FP2 Presence Sensor is Aqara's latest occupancy sensor,1.0
8568cefc2b16b1699bc0d89f,Aqara,aqara,Company,PARTNERED_WITH,7c006ebf3fc788f4d55aae68,Samsung,samsung,Company,3387461d5f34cf26d922::c0000,2023-10-05,Aqara has been working with Samsung,1.0
903f19875b31f6b2819d7374,Nintendo,nintendo,Company,DEVELOPED,148bb64955f3d84478a10967,Nintendo Switch Online,nintendo switch online,Technology,a99df60b77a4081b2cf8::c0000,2023-03-13,Nintendo started server maintenance that might temporarily make the Nintendo Switch Online service unavailable.,1.0
93d232b3891e8ba56c2ed300,dynaCERT,dynacert,Company,DEVELOPED,c732f180722b7251a75df55c,HydraGEN™ Carbon Emission Reduction Technology,hydragentm carbon emission reduction technology,Technology,7ac7c9c97aac23e234ea::c0000,2023-09-18,dynaCERT’s HydraGEN™ Carbon Emission Reduction Technology line of commercial products,0.96
97f3bddefb8ba5769f79e712,Freshworks Inc.,freshworks inc.,Company,DEVELOPED,bf0156f8822118403de2c29f,AI-powered Customer Service Suite,ai-powered customer service suite,Technology,d7780588f2f2dfd15ca1::c0000,2023-08-07,launch of Freshworks Inc.'s AI-powered Customer Service Suite,1.0
a7a6e962938e08298ced16f7,Prolucent Health,prolucent health,Company,PARTNERED_WITH,e23c5421d4f8b156c0c6101c,UKG,ukg,Company,67de1c052ef8ee466663::c0000,2023-09-06,Prolucent Health ... announced a new technology partnership with UKG,1.0
acd842e188757ff92dc0cde5,Odyssey,odyssey,Company,PARTNERED_WITH,bbb867b720ab15554aa07644,ATS,ats,Company,ef0b07436a0a914a91f5::c0000,2023-07-19,Odyssey will join ATS' Process Automation Solutions ('PA') business a leading provider of automation and digitalization solutions for the process and manufacturing industries.,0.95
